nuc,name,category_name,category_code,total
QASAS,All Saints Anglican School.,Research & Reports,research,0
,All Saints Anglican School. Junior Library.,Books & Libraries,book,0
,All Saints Anglican School. Junior Library.,"Diaries, Letters & Archives",diary,0
,All Saints Anglican School. Junior Library.,"Images, Maps & Artefacts",image,0
,All Saints Anglican School. Junior Library.,Magazines & Newsletters,magazine,0
,All Saints Anglican School. Junior Library.,"Music, Audio & Video",music,0
,All Saints Anglican School. Junior Library.,Research & Reports,research,0
,All Saints Anglican School. Senior Library.,Books & Libraries,book,0
,All Saints Anglican School. Senior Library.,"Diaries, Letters & Archives",diary,0
,All Saints Anglican School. Senior Library.,"Images, Maps & Artefacts",image,0
,All Saints Anglican School. Senior Library.,Magazines & Newsletters,magazine,0
,All Saints Anglican School. Senior Library.,"Music, Audio & Video",music,0
,All Saints Anglican School. Senior Library.,Research & Reports,research,0
,Alphacrucis College Limited.,Books & Libraries,book,0
,Alphacrucis College Limited.,"Diaries, Letters & Archives",diary,0
,Alphacrucis College Limited.,"Images, Maps & Artefacts",image,0
,Alphacrucis College Limited.,Magazines & Newsletters,magazine,0
,Alphacrucis College Limited.,"Music, Audio & Video",music,0
,Alphacrucis College Limited.,Research & Reports,research,0
SALPH,Alphacrucis College Limited. Adelaide Campus.,Books & Libraries,book,5934
SALPH,Alphacrucis College Limited. Adelaide Campus.,"Diaries, Letters & Archives",diary,41
SALPH,Alphacrucis College Limited. Adelaide Campus.,"Images, Maps & Artefacts",image,6
SALPH,Alphacrucis College Limited. Adelaide Campus.,Magazines & Newsletters,magazine,0
SALPH,Alphacrucis College Limited. Adelaide Campus.,"Music, Audio & Video",music,379
SALPH,Alphacrucis College Limited. Adelaide Campus.,Research & Reports,research,67
QHBC,Alphacrucis College Limited. Brisbane Campus Library.,Books & Libraries,book,2718
QHBC,Alphacrucis College Limited. Brisbane Campus Library.,"Diaries, Letters & Archives",diary,20
QHBC,Alphacrucis College Limited. Brisbane Campus Library.,"Images, Maps & Artefacts",image,4
QHBC,Alphacrucis College Limited. Brisbane Campus Library.,Magazines & Newsletters,magazine,0
QHBC,Alphacrucis College Limited. Brisbane Campus Library.,"Music, Audio & Video",music,232
QHBC,Alphacrucis College Limited. Brisbane Campus Library.,Research & Reports,research,67
TALPH,Alphacrucis College Limited. Hobart Campus.,Books & Libraries,book,7909
TALPH,Alphacrucis College Limited. Hobart Campus.,"Diaries, Letters & Archives",diary,66
TALPH,Alphacrucis College Limited. Hobart Campus.,"Images, Maps & Artefacts",image,8
TALPH,Alphacrucis College Limited. Hobart Campus.,Magazines & Newsletters,magazine,0
TALPH,Alphacrucis College Limited. Hobart Campus.,"Music, Audio & Video",music,587
TALPH,Alphacrucis College Limited. Hobart Campus.,Research & Reports,research,114
VHBC,Alphacrucis College Limited. Melbourne Campus Library.,Books & Libraries,book,30862
VHBC,Alphacrucis College Limited. Melbourne Campus Library.,"Diaries, Letters & Archives",diary,107
VHBC,Alphacrucis College Limited. Melbourne Campus Library.,"Images, Maps & Artefacts",image,43
VHBC,Alphacrucis College Limited. Melbourne Campus Library.,Magazines & Newsletters,magazine,0
VHBC,Alphacrucis College Limited. Melbourne Campus Library.,"Music, Audio & Video",music,1332
VHBC,Alphacrucis College Limited. Melbourne Campus Library.,Research & Reports,research,319
WHBC,Alphacrucis College Limited. Perth Campus Library.,Books & Libraries,book,5449
WHBC,Alphacrucis College Limited. Perth Campus Library.,"Diaries, Letters & Archives",diary,43
WHBC,Alphacrucis College Limited. Perth Campus Library.,"Images, Maps & Artefacts",image,8
WHBC,Alphacrucis College Limited. Perth Campus Library.,Magazines & Newsletters,magazine,0
WHBC,Alphacrucis College Limited. Perth Campus Library.,"Music, Audio & Video",music,406
WHBC,Alphacrucis College Limited. Perth Campus Library.,Research & Reports,research,64
NSCR,Alphacrucis College Limited. Sydney Campus Library.,Books & Libraries,book,21360
NSCR,Alphacrucis College Limited. Sydney Campus Library.,"Diaries, Letters & Archives",diary,104
NSCR,Alphacrucis College Limited. Sydney Campus Library.,"Images, Maps & Artefacts",image,33
NSCR,Alphacrucis College Limited. Sydney Campus Library.,Magazines & Newsletters,magazine,0
NSCR,Alphacrucis College Limited. Sydney Campus Library.,"Music, Audio & Video",music,1244
NSCR,Alphacrucis College Limited. Sydney Campus Library.,Research & Reports,research,440
SALS,ALS Library Services Pty Ltd.,Books & Libraries,book,71
SALS,ALS Library Services Pty Ltd.,"Diaries, Letters & Archives",diary,0
SALS,ALS Library Services Pty Ltd.,"Images, Maps & Artefacts",image,0
SALS,ALS Library Services Pty Ltd.,Magazines & Newsletters,magazine,0
SALS,ALS Library Services Pty Ltd.,"Music, Audio & Video",music,17
SALS,ALS Library Services Pty Ltd.,Research & Reports,research,0
XAL,Alyangula Area School. Alyangula Joint Use Library.,Books & Libraries,book,12801
XAL,Alyangula Area School. Alyangula Joint Use Library.,"Diaries, Letters & Archives",diary,50
XAL,Alyangula Area School. Alyangula Joint Use Library.,"Images, Maps & Artefacts",image,110
XAL,Alyangula Area School. Alyangula Joint Use Library.,Magazines & Newsletters,magazine,0
XAL,Alyangula Area School. Alyangula Joint Use Library.,"Music, Audio & Video",music,3538
XAL,Alyangula Area School. Alyangula Joint Use Library.,Research & Reports,research,568
SARHC,American River Historic Collection.,Books & Libraries,book,1
SARHC,American River Historic Collection.,"Diaries, Letters & Archives",diary,0
SARHC,American River Historic Collection.,"Images, Maps & Artefacts",image,176
SARHC,American River Historic Collection.,Magazines & Newsletters,magazine,0
SARHC,American River Historic Collection.,"Music, Audio & Video",music,0
SARHC,American River Historic Collection.,Research & Reports,research,0
SANDA,Andamooka School Community. Andamooka Library.,Books & Libraries,book,6411
SANDA,Andamooka School Community. Andamooka Library.,"Diaries, Letters & Archives",diary,12
SANDA,Andamooka School Community. Andamooka Library.,"Images, Maps & Artefacts",image,29
SANDA,Andamooka School Community. Andamooka Library.,Magazines & Newsletters,magazine,0
SANDA,Andamooka School Community. Andamooka Library.,"Music, Audio & Video",music,1538
